id,acc_app_id,area,acc_activity_id,actividad,organization_name,pais,province_id,provincia,canton
22624,330,LABORATORIOS,12,ENSAYOS,"LABORATORIOS MSV ANALISIS DE ALIMENTOS, AGUAS Y SUELOS MSVLAB CIA. LTDA.",Ecuador,1,Azuay,Cuenca
22625,330,LABORATORIOS,12,ENSAYOS,"LABORATORIOS MSV ANALISIS DE ALIMENTOS, AGUAS Y SUELOS MSVLAB CIA. LTDA.",Ecuador,1,Azuay,Cuenca
22626,330,LABORATORIOS,12,ENSAYOS,"LABORATORIOS MSV ANALISIS DE ALIMENTOS, AGUAS Y SUELOS MSVLAB CIA. LTDA.",Ecuador,1,Azuay,Cuenca
22627,330,LABORATORIOS,12,ENSAYOS,"LABORATORIOS MSV ANALISIS DE ALIMENTOS, AGUAS Y SUELOS MSVLAB CIA. LTDA.",Ecuador,1,Azuay,Cuenca
6736,445,LABORATORIOS,12,ENSAYOS,PLASTICOS RIVAL,Ecuador,1,Azuay,Cuenca
24575,446,LABORATORIOS,12,ENSAYOS,PLASTICOS RIVAL,Ecuador,1,Azuay,Cuenca
24576,446,LABORATORIOS,12,ENSAYOS,PLASTICOS RIVAL,Ecuador,1,Azuay,Cuenca
26812,446,LABORATORIOS,12,ENSAYOS,PLASTICOS RIVAL,Ecuador,1,Azuay,Cuenca
26813,446,LABORATORIOS,12,ENSAYOS,PLASTICOS RIVAL,Ecuador,1,Azuay,Cuenca
26814,446,LABORATORIOS,12,ENSAYOS,PLASTICOS RIVAL,Ecuador,1,Azuay,Cuenca
26815,446,LABORATORIOS,12,ENSAYOS,PLASTICOS RIVAL,Ecuador,1,Azuay,Cuenca
10048,1240,LABORATORIOS,12,ENSAYOS,"EMPRESA PUBLICA MUNICIPAL DE TELECOMUNICACIONES, AGUA POTABLE, ALCANTARILLADO Y SANEAMIENTO DE CUENCA ETAPA EP",Ecuador,1,Azuay,Cuenca
10049,1240,LABORATORIOS,12,ENSAYOS,"EMPRESA PUBLICA MUNICIPAL DE TELECOMUNICACIONES, AGUA POTABLE, ALCANTARILLADO Y SANEAMIENTO DE CUENCA ETAPA EP",Ecuador,1,Azuay,Cuenca
14735,1240,LABORATORIOS,12,ENSAYOS,"EMPRESA PUBLICA MUNICIPAL DE TELECOMUNICACIONES, AGUA POTABLE, ALCANTARILLADO Y SANEAMIENTO DE CUENCA ETAPA EP",Ecuador,1,Azuay,Cuenca
14757,1240,LABORATORIOS,12,ENSAYOS,"EMPRESA PUBLICA MUNICIPAL DE TELECOMUNICACIONES, AGUA POTABLE, ALCANTARILLADO Y SANEAMIENTO DE CUENCA ETAPA EP",Ecuador,1,Azuay,Cuenca
