"idOrganizacion";"idActividad";"level_2";"level_3";"level_4";"level_5";"level_6";"level_7";"level_8";"level_9";"level_10";"level_11"
"45";"12";NULL;"En laboratorio";"Análisis Físico – Químicos en Aguas";"Espectrofotometría UV-Vis, Cálculo";"Nitratos como Nitratos (NO3-NO3)";"Agua de Consumo,Agua Natural Agua Residual";"<p>(10,00 a 166,00)mg/L</p>";"<p>PE05</p>";"<p>Standard Methods 24 Th, 2023. 4500 NO3- A y B</p>";NULL
"45";"12";NULL;"En laboratorio";"Análisis Físico – Químicos en Aguas";"Espectrofotometría UV- VIS";"Cromo hexavalente";"Agua de Consumo,Agua Natural Agua Residual";"<p>(0,040 a 1,000)mg/L</p>";"<p>PE78</p>";"<p>Modificado Standard Methods 24 Th, 2023. 3500-Cr B</p>";NULL
"45";"12";NULL;"En laboratorio";"Análisis Físico – Químicos en Aguas";"Espectrofotometría UV-Vis, Cálculo";"Nitritos como Nitritos (NO2-NO2)";"Agua de Consumo,Agua Natural Agua Residual";"<p>(0,148 a 3,613)mg/L</p>";"<p>PE08</p>";"<p>Standard Methods 24 Th, 2023. 4500 NO2- B</p>";NULL
"531";"12";NULL;"En laboratorio";"Análisis Físico – Químicos en Aguas";"Espectrofotometría";"Nitrógeno Total Kjeldahl,";"Aguas residuales";"<p>(24 a 450) mg/l&nbsp;</p>";"<p>PEE/ANNCY/56</p>";"<p>HACH 8075.</p>";NULL
"471";"12";NULL;"En laboratorio";"Ensayos físicos en minerales y concentrados de minerales";"Física";"Contenido de Humedad";"Concentrados de minerales de Pb, Cu y Zn";"<p>(3 a 12,5)%</p><p><br></p>";"<p>N/A</p>";"NTP-ISO 10251 2016";NULL
"471";"12";NULL;"En laboratorio";"Ensayos físicos en minerales y concentrados de minerales";"Física";"Contenido de Humedad";"Concentrados de minerales de Au y Ag";"<p>(2 a 10)%</p><p><br></p>";"<p>N/A</p>";"NTP 122.015 1974";NULL
"366";"12";NULL;"In situ";"Ensayos Físico – químicos en derivados de petróleo";"Termometría";"Temperatura de Evaporación";"GLP - Propano - Butano";"<p>(-22,0 a 31,6) °F&nbsp;</p>";"<p>PE.LMV.07&nbsp;</p>";"<p>INEN 677, 1982 rev. 2013</p>";NULL
"366";"12";NULL;"En laboratorio";"Ensayos Físico – químicos en derivados de petróleo";"Hidrómetro";"Gravedad API a 60°F (15,56°C)";"Diesel - Gasolina";"<p>(33,6 a 66,3) °API</p>";"<p>V05.04.02.PT.04&nbsp;</p>";"<p>ASTM D1298-12b, 2017</p>";NULL
"370";"12";NULL;"En laboratorio";"Ensayos físico-químicos en alimentos";"Llama Aire Acetileno";"Espectrofotometría de
Absorción Atómica";"Néctares";"<p>Hierro (Fe),</p><p><br></p><p>(0,41 a 23,84) mg/kg</p><p><br></p><p>Zinc (Zn),&nbsp;</p><p><br></p><p>(0,41 a 26,07) mg/kg</p>";"<p>SEIN-MIN1</p>";"<p>AOAC Edición XX, 2019, 999.11</p>";NULL
"370";"12";NULL;"En laboratorio";"Ensayos físico-químicos en alimentos";"Llama Aire Acetileno";"Espectrofotometría de
Absorción Atómica";"Leche";"<p>Hierro (Fe),</p><p><br></p><p>&nbsp;(2,5 a 100) mg/kg</p><p><br></p><p>Zinc (Zn),&nbsp;</p><p><br></p><p>(2,5 a 100) mg/kg&nbsp;</p>";"<p>SEIN-MIN1</p>";"<p>AOAC Edición 21, 2019, 999.11</p>";NULL
"370";"12";NULL;"En laboratorio";"Ensayos físico-químicos en alimentos";"Gravimetría";"Grasa";"Yogurt";"<p>(0,59 a 3,27) %&nbsp;</p>";"<p>SEF-G</p>";"<p>AOAC, Edición 21, 2019, 991.20</p>";NULL
"370";"12";NULL;"En laboratorio";"Ensayos físico-químicos en alimentos";"Kjeldahl";"Proteína";"Yogurt";"<p>&nbsp;(3,05 a 3,70) %&nbsp;</p>";"<p>SEF-P</p>";"<p>AOAC, Edición 21, 2019, 991.20</p>";NULL
"370";"12";NULL;"En laboratorio";"Análisis microbiológicos en aguas";"Fermentación en tubo";"Coliformes";"Agua potable";"<p>&nbsp;>= 1,1 NMP/100 ml&nbsp;&nbsp;</p>";"<p>SEM-CTNMP</p>";"<p>INEN 1529-6:90</p>";NULL
"370";"12";NULL;"En laboratorio";"Ensayos microbiológicos en alimentos";"Fermentación en tubo";"Microorganismos Coliformes";"Alimentos";"<p>&nbsp;>= 3 NMP/g&nbsp;&nbsp;&nbsp;</p>";"<p>SEM-CTNMP</p>";"<p>INEN 1529-6:90</p>";NULL
