"idOrganizacion";"IdLaboratorioCalibracion";"ClbLugarEjecucion";"ClbMagnitud";"ClbInstrumento";"ClbIntervaloMedicion";"ClbIncertidumbreExpandida";"ClbPrincipioMedicion";"ClbMetodoMedicion";"ClbPatronUtilizado";"ClbVigenteApartirDe"
"984";"1";"--";"Presión Hidráulica";"Transmisores de presión con salida eléctrica";"<p>(0 a 34473,79) kPa</p><p>(0 a 5000) PSI</p>";"<p>2,1 kPa</p><p>(0,30 PSI)</p>";"--";"<p>MET-PTC-08</p>";"--";"--"
"984";"1";"--";"Presión Hidráulica";"Transmisores de presión con salida eléctrica";"<p>(0 a 34473,79) kPa</p><p>(0 a 5000) PSI</p>";"<p>2,1 kPa</p><p>(0,30 PSI)</p>";"--";"<p>MET-PTC-08</p>";"--";"--"
"984";"1";"--";"Intervalo de tiempo";"Contadores de intervalos de tiempo (cronómetros)";"<p>0 a 180 s</p><p>0 a 600 s</p><p>0 a 1800 s</p><p>0 a 3600 s</p><p>0 a 7200 s</p><p>0 a 14400 s</p>";"<p>0,015 s</p><p>0,015 s</p><p>0,038 s</p><p>0,062 s</p><p>0,12 s</p><p>0,23 s</p>";"--";"<p>MET-PTC-09</p>";"--";"--"
"984";"1";"--";"Intervalo de tiempo";"Contadores de intervalos de tiempo (horometros)";"<p>0 a 14400&nbsp;s</p>";"<p>0,62 s</p>";"--";"<p>MET-PTC-10</p>";"--";"--"
"984";"1";"--";"Temperatura y Humedad Relativa";"Calibración de Termohigrómetros y Termómetros de Interiores";"<p>(10 a 40) °C </p><p>(30 a 75) %HR</p>";"<p>0,74 °C</p><p>2,9 %HR</p>";"--";"<p>MET-PTC-08</p>";"--";"--"
"289";"1";"--";"Resistencia Eléctrica";"Megóhmetros digitales";"<p><strong>Megóhmetros</strong></p><p>1 M?   </p><p>10 M?   </p><p>100 M?   &nbsp;   </p><p><br></p><p>1 G?  </p><p>10 G?   </p><p>100 G? </p>";"<p><strong>Megóhmetros</strong></p><p>5,8 k?   </p><p>5,9 k?   </p><p>59 k?   &nbsp;   </p><p><br></p><p>3,9 M?   </p><p>0,070 G?   </p><p>0,79 G? </p>";"--";"LCT-PCBF-03";"--";"--"
"289";"1";"--";"Masa";"Balanzas de: Clase III exactitud media y Clase IIII Exactitud Ordinaria.";"<p><strong>Instrumentos de pesaje de funcionamiento no automático&nbsp;(Balanzas)</strong></p><p> (0 a 2 000) g</p><p> (0 a 100) kg</p><p> (0 a 300) kg</p>";"<p><strong>Instrumentos de pesaje de funcionamiento no automático&nbsp;(Balanzas)</strong></p><p> 0,16 g</p><p> 0,016 kg</p><p> 0,082 kg</p>";"--";"LCT-PCMM-01";"--";"--"
"289";"1";"--";"Masa";"Balanzas de: Clase III exactitud media y Clase IIII Exactitud Ordinaria.";"<p><strong>Instrumentos de pesaje de funcionamiento no automático&nbsp;(Balanzas)&nbsp;</strong></p><p> (0 a 2 000) g</p><p> (0 a 300) kg</p><p> (0 a 1 000) kg</p>";"<p><strong>Instrumentos de pesaje de funcionamiento no automático&nbsp;(Balanzas)&nbsp;</strong></p><p> 0,16&nbsp;g</p><p> 0,082 kg</p><p> 0,41 kg</p>";"--";"LCT-PCMM-01";"--";"--"
"289";"1";"--";"Presión y vacío";"Transductor de presión,Transmisores de presión con salida eléctrica";"<p><strong>Medidores de presión con salida electrica&nbsp;</strong></p><p>(0 a 600) kPa (0 a 87,02) psi</p><p>(0 a 1 600) kPa (0 a 232) psi</p><p>(0 a 2 500) kPa (0 a 362,59) psi</p><p>(0 a 14 000) kPa (0 a 2030,53) psi</p><p>(0 a 40 000) kPa (0 a 5 801,51) psi</p><p>(0 a 68 947,57) kPa (0 a 10 000) psi</p>";"<p><strong>Medidores de presión con salida electrica&nbsp;</strong></p><p>0,465 kPa 0,0674 psi</p><p>0,579 kPa 0,0840 psi</p><p>0,711 kPa 0,1031 psi</p><p>8,528 kPa 1,237 psi</p><p>11,89 kPa 1,724 psi</p><p>16,732 kPa 2,43 psi</p>";"--";"LCT-PCPR-02";"--";"--"
"289";"1";"--";"Presión y vacío";"Transductor de presión,Transmisores de presión con salida eléctrica";"<p><strong>Medidores de presión con salida electrica&nbsp;</strong></p><p>(0 a 600) kPa (0 a 87,02) psi</p><p>(0 a 1 600) kPa (0 a 232) psi</p><p>(0 a 2 500) kPa (0 a 362,59) psi</p><p>(0 a 14 000) kPa (0 a 2030,53) psi</p><p>(0 a 40 000) kPa (0 a 5 801,51) psi</p><p>(0 a 68 947,57) kPa (0 a 10 000) psi</p>";"<p><strong>Medidores de presión con salida electrica&nbsp;</strong></p><p>0,465 kPa 0,0674 psi</p><p>0,579 kPa 0,0840 psi</p><p>0,711 kPa 0,1031 psi</p><p>8,528 kPa 1,237 psi</p><p>11,89 kPa 1,724 psi</p><p>16,732 kPa 2,43 psi</p>";"--";"LCT-PCPR-02";"--";"--"
"289";"1";"--";"Tensión corriente continua";"Multímetros Digitales de 4 ½ dígitos";"<p>(0 a 329,9999) mV </p><p>(0 a 3,299999) V </p><p>(0 a 32,99999) V </p><p>(30 a 329,9999) V (100 a 1020,000) V</p>";"<p>0,59 mV </p><p>0,00058 V </p><p>0,00071 V </p><p>0,0061 V </p><p>0,58 V</p>";"--";"<p>LCT-PCBF-01&nbsp;</p>";"--";"--"
"289";"1";"--";"Tensión corriente continua";"Pinzas Amperimétricas";"<p>(0 a 32,99999) V </p><p>(30 a 329,9999) V </p><p>(100 a 1020,000) V</p>";"<p>0,0058 V </p><p>0,0069 V </p><p>0,059 V</p>";"--";"<p>LCT-PCBF-02&nbsp;</p>";"--";"--"
"289";"1";"--";"Tensión de corriente alterna (60 Hz a 1 kHz)";"Multímetros Digitales de 4 ½ dígitos";"<p>(33 a 329,999) mV </p><p>(0,33 a 3,29999) V </p><p>(3,3 a 32,9999) V </p><p>(33 a 329,999) V </p><p>(330 a 1020) V</p>";"<p>0,073 mV </p><p>0,00029 V </p><p>0,0028 V </p><p>0,013 V </p><p>0,37 V</p>";"--";"<p>LCT-PCBF-01&nbsp;</p>";"--";"--"
"289";"1";"--";"Tensión de corriente alterna (60 Hz a 1 kHz)";"Pinzas Amperimétricas";"<p>(3,3 a 32,9999) V </p><p>(33 a 329,999) V </p><p>(330 a 1020) V</p>";"<p>0,0071 V</p><p>0,033 V </p><p>0,085 V</p>";"--";"<p>LCT-PCBF-02</p>";"--";"--"
"289";"1";"--";"Intensidad corriente continua";"Multímetros Digitales de 4 ½ dígitos";"<p>(0 a 32,9999) mA </p><p>(0 a 329,999) mA </p><p>(0 a 1,09999) A </p><p>(0 a 10,9999) A</p>";"<p>0,0059 mA </p><p>0,011 mA </p><p>0,00023 A </p><p>0,0028 A</p>";"--";"<p>LCT-PCBF-01</p>";"--";"--"
"289";"1";"--";"Intensidad de corriente continua bobina 50 coil";"Pinzas Amperimétricas";"<p>(0 a 10) A </p><p>(10 a 50) A </p><p>(50 a 70) A </p><p>(70 a 100) A </p><p>(100 a 500) A </p><p>(500 a 1000) A</p>";"<p>0,036 A </p><p>0,18 A </p><p>0,25 A </p><p>0,34 A </p><p>1,7 A </p><p>2,4 A</p>";"--";"<p>LCT-PCBF-02</p>";"--";"--"
"289";"1";"--";"Intensidad de corriente alterna (60 Hz a 1 kHz)";"Multímetros Digitales de 4 ½ dígitos";"<p>(3,3 a 32,9999) mA </p><p>(33 a 329,999) mA </p><p>(0,33 a 1,09999) A </p><p>(3 a 10,9999 ) A</p>";"<p>0,0077 mA </p><p>0,051 mA </p><p>0,00035 A </p><p>0,0065 A</p>";"--";"<p>LCT-PCBF-01&nbsp;</p>";"--";"--"
"289";"1";"--";"Resistencia Eléctrica";"Multímetros Digitales de 4 ½ dígitos";"<p>(0 a 10,999) ?</p><p>(33 a 109,999) ?</p><p>330 ? a 1,09999 k?</p><p>(3,3 a 10,9999) k?</p><p>(33 a 109,999) k?</p><p>330 k? a 1,09999 M?</p><p>(3,3 a 10,9999) M?</p><p>(33 a 109,999) M?</p>";"<p>59 m?</p><p>63 m?</p><p>0,10 ?</p><p>0,94 ?</p><p>0,010 k?</p><p>0,13 k?</p><p>4,5 k?</p><p>0,29 M?</p>";"--";"<p>LCT-PCBF-01&nbsp;</p>";"--";"--"
"289";"1";"--";"Resistencia Eléctrica";"Pinzas Amperimétricas";"<p>(11 a 32,999) ?</p><p>(33 a 109,999) ?</p><p>330 ? a 1,09999 k?</p><p>(3,3 a 10,9999) k?</p><p>(33 a 109,999) k?</p>";"<p>61 m?</p><p>64 m?</p><p>0,14 ?</p><p>1,3 ?</p><p>5,9 ?</p>";"--";"<p>LCT-PCBF-02&nbsp;</p>";"--";"--"
"289";"1";"--";"Dimensional longitud";"PIE DE REY";"<p>Puntas externas</p><p>(0 a 250) mm</p><p>(0 a 10) in</p><p>&gt;(250 a 300) mm</p><p>(&gt;10 a 12) in</p><p>Puntas para&nbsp;</p><p>interiores</p><p>(0 a 30) mm</p><p>(0 a 1,2) in</p><p>Varilla de&nbsp;</p><p>Profundidad</p><p>(0 a 30) mm</p><p>(0 a 1,2) in</p>";"<p>Puntas externas</p><p>10 µm</p><p>0,410 µin</p><p>12 µm</p><p>0,482 µin</p><p>Puntas para&nbsp;</p><p>interiores</p><p>8,5 µm</p><p>0,335 µin</p><p>Varilla de&nbsp;</p><p>Profundidad</p><p>5,8 µm</p><p>0,227 µin</p><p><br></p>";"--";"<p>LCT-PCL-01&nbsp;</p>";"--";"--"
"289";"1";"--";"Dimensional longitud";"Micrómetro de exteriores de dos contactos";"<p>(0 a 25) mm</p><p>(0 a 1) in</p><p>(25 a 50) mm</p><p>(1 a 2) in</p><p>(50 a 75) mm</p><p>(2 a 3) in</p><p>(75 a 100) mm</p><p>(3 a 4) in</p>";"<p>0,58 µm</p><p>0,0227 µin</p><p>0,59 µm</p><p>0,0233 µin</p><p>0,61 µm</p><p>0,0240 µin</p><p>0,64 µm</p><p>0,0252 µin</p>";"--";"<p>LCT-PCL-02</p>";"--";"--"
"289";"1";"--";"Dimensional longitud";"Comparadores de Carátula";"<p>(0 a 12) mm</p><p>(0 a 0,5) in</p>";"<p>0,83 µm</p><p>0,0325 µin</p>";"--";"<p>LCT-PCL-03</p>";"--";"--"
"289";"1";"--";"Dimensional longitud (**)";"Micrómetro de exteriores de dos contactos";"<p>(100 a 125) mm</p><p>(4 a 5) in</p><p>(175 a 200) mm</p><p>(7 a 8) in</p><p>(275 a 300) mm</p><p>(11 a 12) in</p>";"<p>0,69 µm</p><p>0,0270 µin</p><p>0,86 µm</p><p>0,0337 µin</p><p>1,1 µm</p><p>0,0432 µin</p>";"--";"<p>LCT-PCL-02&nbsp;</p>";"--";"--"
"289";"1";"--";"Corriente alterna bobina 50 coil (60 Hz)";"Pinzas Amperimétricas";"<p>(10 a 50) A</p><p>(50 a 70) A</p><p>(70 a 100) A</p><p>(100 a 500) A</p><p>(500 a 1000) A</p>";"<p>0,40 A</p><p>0,28 A</p><p>0,40 A</p><p>1,9 A</p><p>2,7 A</p>";"--";"<p>LCT-PCBF-02</p>";"--";"--"
"289";"1";"--";"(**) Frecuencia";"Multímetros Digitales de 4 ½ dígitos";"<p>119,99 Hz</p><p>(120 a 1199,9) Hz&nbsp;</p><p>(1,2 a 11,999) kHz</p><p>(12 a 119,99) kHz</p>";"<p>8,6 mHz</p><p>8,6 mHz</p><p>0,58 Hz</p><p>0,79 Hz</p>";"--";"<p>LCT-PCBF-01</p>";"--";"--"
"289";"1";"--";"Presión neumática";"Medidores de presión relativa con exactitud >= 0,25%";"<p>(0 a 2068,4) kPa</p><p>(0 a 300) psi</p>";"<p>2,17 kPa</p><p>0,315 psi</p>";"--";"<p>LCT-PCPR-01&nbsp;</p>";"--";"--"
"289";"1";"--";"Presión hidráulica";"Medidores de presión relativa con exactitud >= 0,25%";"<p>(0 a 34473,8) kPa</p><p>(0 a 5000) psi</p>";"<p>40,9 kPa</p><p>5,9 psi</p>";"--";"<p>LCT-PCPR-01&nbsp;</p>";"--";"--"
"289";"1";"--";"Presión hidráulica";"Medidores de presión relativa con exactitud >= 0,25%";"<p>(0 a 68947,6) kPa</p><p>(0 a 10000) psi</p>";"<p>100,8 kPa</p><p>14,6 psi</p>";"--";"<p>LCT-PCPR-01</p>";"--";"--"
"289";"1";"--";"Presión y vacío";"Medidores de presión relativa";"<p><strong>Medidores de presión relativa con exactitud >= 1%</strong></p><p><u>Presión neumática</u></p><p>(0 a 2068,4) kPa (0 a 300) psi</p><p><br></p><p><u>Presión hidraúlica</u></p><p>(0 a 13 789,5) kPa (0 a 2 000) psi</p><p>(0 a 68 947,6) kPa (0 a 10 000) psi</p>";"<p><strong>Medidores de presión relativa con exactitud >= 1%</strong></p><p><u>Presión neumática</u></p><p>2,17 kPa 0,315 psi</p><p><br></p><p><u>Presión hidraúlica</u></p><p>40,9 kPa 5,93 psi</p><p>100,7 kPa 14,6 psi</p>";"--";"<p>LCT-PCPR-01</p>";"--";"--"
"289";"1";"--";"Longitud";"CALIBRACIÓN DE CINTAS,CALIBRACIÓN DE CINTAS AFORO Y PLOMADA,Cinta métrica Flexómetro";"<p><strong>Flexómetros, cintas y cintas de aforo</strong></p><p><u>Plomada:</u></p><p>(0 a 150) mm (0 a 5,906) in</p><p><br></p><p><u>Reglas flexibles:</u></p><p>(0 a 0,3) m (0 a 11,81) in&nbsp;&nbsp;</p><p>(1 a 29,5) m (39,37 a 1161,4) in</p>";"<p><strong>Flexómetros, cintas y cintas de aforo</strong></p><p><u>Plomada:</u></p><p>0,82 mm (0,032) in</p><p><br></p><p><u>Reglas flexibles:</u></p><p>0,82 mm (0,032) in&nbsp;&nbsp;</p><p>0,84 mm (0,033) in</p>";"--";"<p>Flexómetros, cintas y cintas de aforo: LCT-PCL-04</p>";"--";"--"
"289";"1";"--";"Dimensional longitud (**)";"PIE DE REY";"<p>Profundidad</p><p><br></p><p>(0 a 300) mm</p><p> (0 a 12) in</p>";"<p><br></p><p><br></p><p>5,8 µm </p><p>0,227 µin</p>";"--";"<p>LCT-PCL-01&nbsp;</p>";"--";"--"
"289";"1";"--";"Mecánica
Momentos";"Herramientas dinamométricas (torquímetros) tipo I todas las clases según ISO 6789-1:2017 (E). Solo sentido horario";"<p>0,70 N.m a 5,6 N.m</p><p>6,2 lbf.in a 49,6 lbf.in</p><p>0,52 lbf.ft a 4,1 lbf.ft</p>";"<p>0,018 N·m</p><p>0,16 lbf·in</p><p>0,013 lbf·ft</p>";"--";"<p>LCT-PCPT-01&nbsp;</p>";"--";"--"
"289";"1";"--";"Mecánica
Momentos";"Herramientas dinamométricas (torquímetros) tipo I todas las clases según ISO 6789-1:2017 (E). Solo sentido horario";"<p>&gt;5,6 N.m a 45,0 N.m</p><p>&gt;49,6 lbf.in a 398,3 lbf.in</p><p>&gt;4,1 lbf.ft a 33,2 lbf.ft</p>";"<p>0,19 N·m</p><p>1,7 lbf·in</p><p>0,14 lbf·ft</p>";"--";"<p>LCT-PCPT-01</p>";"--";"--"
"289";"1";"--";"Mecánica
Momentos";"Herramientas dinamométricas (torquímetros) tipo I todas las clases según ISO 6789-1:2017 (E). Solo sentido horario";"<p>&gt;45,0 N.m a 113, N.m</p><p>&gt;398,3 lbf.in a 1000,1 lbf.in</p><p>&gt;33,2 lbf.ft a 83,3 lbf.ft</p>";"<p>0,17 N·m</p><p>1,5 lbf·in</p><p>0,13 lbf·ft</p>";"--";"<p>LCT-PCPT-01&nbsp;</p>";"--";"--"
"289";"1";"--";"Mecánica
Momentos";"Herramientas dinamométricas (torquímetros) tipo I todas las clases según ISO 6789-1:2017 (E). Solo sentido horario";"<p>&gt;113,0 N.m a 339,0 N.m</p><p>&gt;1000,1 lbf.in a 3000,4 lbf.in</p><p>&gt;83,3 lbf.ft a 250,03 lbf.ft</p>";"<p>0,60 N·m</p><p>5,3 lbf·in</p><p>0,44 lbf·ft</p>";"--";"<p>LCT-PCPT-01</p>";"--";"--"
"289";"1";"--";"Mecánica
Momentos";"Herramientas dinamométricas (torquímetros) tipo I todas las clases según ISO 6789-1:2017 (E). Solo sentido horario";"<p>&gt;339,0 N.m a 813,5 N.m</p><p>&gt;250,03 lbf.ft a 600,0 lbf.ft</p>";"<p>1,6 N·m</p><p>1,2 lbf·ft</p>";"--";"<p>LCT-PCPT-01</p>";"--";"--"
"289";"1";"--";"Mecánica
Momentos";"Herramientas dinamométricas (torquímetros) tipo II todas las clases según ISO 6789-1:2017 (E). Solo sentido horario";"<p>0,70 N·m a 5,6 N·m</p><p>6,2 lbf·in a 49,6 lbf·in</p><p>0,52 lbf·ft a 4,1 lbf.ft</p>";"<p>0,023 N·m</p><p>0,20 lbf·in</p><p>0,017 lbf·ft</p>";"--";"<p>LCT-PCPT-01&nbsp;</p>";"--";"--"
"289";"1";"--";"Mecánica
Momentos";"Herramientas dinamométricas (torquímetros) tipo II todas las clases según ISO 6789-1:2017 (E). Solo sentido horario";"<p>&gt;5,6 N·m a 45,0 N·m</p><p>&gt;49,6 lbf·in a 398,3 lbf·in</p><p>&gt;4,1 lbf·ft a 33,2 lbf·ft</p>";"<p>0,20 N·m</p><p>1,8 lbf·in</p><p>0,15 lbf·ft</p>";"--";"<p>LCT-PCPT-01</p>";"--";"--"
"289";"1";"--";"Mecánica
Momentos";"Herramientas dinamométricas (torquímetros) tipo II todas las clases según ISO 6789-1:2017 (E). Solo sentido horario";"<p>&gt;45,0 N·m a 113, N·m</p><p>&gt;398,3 lbf·in a 1000,1 lbf.in</p><p>&gt;33,2 lbf·ft a 83,3 lbf·ft</p>";"<p>0,20 N·m</p><p>1,8 lbf·in</p><p>0,15 lbf·ft</p>";"--";"<p>LCT-PCPT-01&nbsp;</p>";"--";"--"
"289";"1";"--";"Mecánica
Momentos";"Herramientas dinamométricas (torquímetros) tipo II todas las clases según ISO 6789-1:2017 (E). Solo sentido horario";"<p>&gt;113,0 N·m a 339,0 N·m</p><p>&gt;1000,1 lbf·in a 3000,4 lbf·in</p><p>&gt;83,3 lbf·ft a 250,03 lbf·ft</p>";"<p>0,77 N·m</p><p>6,8 lbf·in</p><p>0,57 lbf·ft</p>";"--";"<p>LCT-PCPT-01</p>";"--";"--"
"289";"1";"--";"Mecánica
Momentos";"Herramientas dinamométricas (torquímetros) tipo II todas las clases según ISO 6789-1:2017 (E). Solo sentido horario";"<p>&gt;339,0 N·m a 813,5 N·m</p><p>&gt;250,03 lbf·ft a 600,0 lbf·ft</p>";"<p>1,8 N·m</p><p>1,3 lbf·ft</p>";"--";"<p>LCT-PCPT-01</p>";"--";"--"
"340";"1";"--";"Masa";"Balanza analítica";"<p>(0,1 a 220) g, </p><p>d= 0,1 mg</p>";"<p>(0,13+0,0015W) mg</p><p>W = masa en g</p>";"--";"<p>PC-01</p>";"--";"--"
"340";"1";"--";"Cloro";"Fotómetro en condiciones de laboratorio";"<p>(0,27 a 1,5) mg/l</p>";"<p><u style=""color: black;"">+</u> 0,046 mg/l</p>";"--";"<p>PC-03</p>";"--";"--"
"340";"1";"--";"Potencial de Hidrógeno";"Medidor de pH en
condiciones de
laboratorio";"<p>(4,0 a 10,0) unidades pH</p>";"<p><u style=""color: black;"">+</u> 0,022 unidades pH</p>";"--";"<p>PC-05</p>";"--";"--"
"340";"1";"--";"Turbidez";"Turbidímetro en
condiciones de
laboratorio";"<p>(1 a 10) NTU&nbsp;</p><p>(10 a 1 000) NTU</p>";"<p>+/- 0,049 NTU</p><p>+/- 0,17 NTU</p>";"--";"<p>PC-07</p>";"--";"--"
"340";"1";"--";"Cloro";"Fotómetro en condiciones de laboratorio";"<p>(0,27 a 1,5) mg/l</p>";"<p><u style=""color: black;"">+</u> 0,046 mg/l</p>";"--";"<p>PC-03</p>";"--";"--"
"340";"1";"--";"Cloro";"Medidores de cloro en condiciones de proceso";"<p>(0,27 a 1,5) mg/l</p>";"<p><u style=""color: black;"">+</u> 0,078 mg/l</p>";"--";"<p>PC-04</p>";"--";"--"
"340";"1";"--";"Potencial de Hidrógeno";"Medidor de pH en
condiciones de
laboratorio";"<p>(4,0 a 10,0) unidades pH</p>";"<p><u style=""color: black;"">+</u> 0,022 unidades pH</p>";"--";"<p>PC-05</p>";"--";"--"
"340";"1";"--";"Potencial de Hidrógeno";"Medidor de pH en
condiciones de
proceso";"<p>(4,0 a 10,0) unidades pH</p>";"<p><u style=""color: black;"">+</u> 0,026 unidades pH</p>";"--";"<p>PC-06</p>";"--";"--"
"340";"1";"--";"Turbidez";"Turbidímetro en condiciones de laboratorio";"<p>(1 a 10) NTU </p><p class=""ql-align-justify"">(10 a 1 000) NTU</p>";"<p><u style=""color: black;"">+</u> 0,049 NTU</p><p class=""ql-align-justify""><u style=""color: black;"">+</u> 0,17 NTU</p>";"--";"<p>PC-07</p>";"--";"--"
"340";"1";"--";"Turbidez";"Turbidímetro en condiciones de proceso";"<p>(0,5 a 10) NTU</p><p>(10 a 50) NTU</p>";"<p><u style=""color: black;"">+</u> 0,023 NTU</p><p><u style=""color: black;"">+</u> 0,20 NTU</p>";"--";"<p>PC-08</p>";"--";"--"
"25";"1";"--";"Vacío";"Calibración
De Manómetros,
Vacuómetros y
Manovacuómetros
analógicos y digitales
exactitud >= 0,1% del
intervalo de medida";"<p class=""ql-align-justify""><span style=""color: black;"">(- 12 a 0) psi</span></p><p class=""ql-align-justify""><span style=""color: black;"">(-82,7 a 0) kPa</span></p>";"<p><span style=""color: black;"">0,0076 PSI</span></p><p><span style=""color: black;"">0,053 kPa</span></p>";"--";"<p><span style=""color: black;"">PO LAB 02</span></p>";"--";"--"
"25";"1";"--";"Presión hidráulica";"Calibración
De Manómetros,
Vacuómetros y
Manovacuómetros
analógicos y digitales
exactitud >= 0,1% del
intervalo de medida";"<p>(0 a 30) PSI&nbsp;</p><p>(0 a 207) kPa</p>";"<p>0,0046&nbsp;PSI</p><p>0,032 kPa</p>";"--";"<p><span style=""color: black;"">PO LAB 02</span></p>";"--";"--"
"25";"1";"--";"Presión hidráulica";"Calibración De Manómetros, Vacuómetros y Manovacuómetros analógicos y digitales 
exactitud >= 0,25% del intervalo de medida";"<p>(30 a 100) psi (207 a 689) kPa</p>";"<p>0,039 psi 0,27 kPa</p>";"--";"<p>PO LAB 02</p>";"--";"--"
"25";"1";"--";"Presión Hidráulica";"Calibración
De Manómetros,
Vacuómetros y
Manovacuómetros
analógicos y digitales
exactitud >= 0,1% del
intervalo de medida";"<p>(100 a 300) psi</p><p>(689 a 2 068) kPa</p>";"<p>0,12 psi</p><p>0,83 kPa</p>";"--";"<p>PO LAB 02</p>";"--";"--"
"25";"1";"--";"Presión hidráulica";"Calibración
De Manómetros,
Vacuómetros y
Manovacuómetros
analógicos y digitales
exactitud >= 0,1% del
intervalo de medida";"<p>(300 a 1 000) psi</p><p>(2 068 a 6 894) kPa</p>";"<p>0,43 psi</p><p>3,0 kPa</p>";"--";"<p>PO LAB 02</p>";"--";"--"
"25";"1";"--";"Presión hidráulica";"Calibración
De Manómetros,
Vacuómetros y
Manovacuómetros
analógicos y digitales
exactitud >= 0,1% del
intervalo de medida";"<p>(1 000 a 5 000) psi</p><p>(6 894 a 34 474) kPa</p>";"<p>0,84 psi</p><p>5,8 kPa</p>";"--";"<p>PO LAB 02</p>";"--";"--"
"25";"1";"--";"Presión hidráulica";"Calibración De Manómetros, Vacuómetros y Manovacuómetros analógicos y digitales 
exactitud >= 0,25% del intervalo de medida";"<p>(5 000 a 10 000) psi</p><p> (34 474 a 68 948) kPa</p>";"<p>5,8 psi 40,0 kPa</p>";"--";"<p>PO LAB 02</p>";"--";"--"
"25";"1";"--";"Presión neumática";"Calibración De Manómetros, Vacuómetros y Manovacuómetros analógicos y digitales 
exactitud >= 0,25% del intervalo de medida";"<p>(30 a 100) psi (207 a 689) kPa</p>";"<p>0,039 psi</p><p>0,27 kPa</p>";"--";"<p>PO LAB 02</p>";"--";"--"
"25";"1";"--";"Presión neumática";"Calibración
De Manómetros,
Vacuómetros y
Manovacuómetros
analógicos y digitales
exactitud >= 0,1% del
intervalo de medida";"<p>(100 a 300) psi</p><p>(689 a 2 068) kPa</p>";"<p>0,12 psi</p><p>0,83 kPa</p>";"--";"<p>PO LAB 02</p>";"--";"--"
"25";"1";"--";"Presión neumática";"Calibración
De Manómetros,
Vacuómetros y
Manovacuómetros
analógicos y digitales
exactitud >= 0,1% del
intervalo de medida";"<p>(0 a 30) psi</p><p>(0 a 207) kPa</p>";"<p>0,0046 psi</p><p>0,032 kPa</p>";"--";"<p>PO LAB 02</p>";"--";"--"
"25";"1";"--";"Presión neumática";"Calibración De Manómetros, Vacuómetros y Manovacuómetros analógicos y digitales 
exactitud >= 0,25% del intervalo de medida";"<p>(30 a 100) psi (207 a 689) kPa</p>";"<p>0,039 psi</p><p>0,27 kPa</p>";"--";"<p>PO LAB 02</p>";"--";"--"
"25";"1";"--";"Presión neumática";"Calibración
De Manómetros,
Vacuómetros y
Manovacuómetros
analógicos y digitales
exactitud >= 0,1% del
intervalo de medida";"<p>(100 a 300) psi (689 a 2 068) kPa</p>";"<p>0,12 psi</p><p>0,83 kPa</p>";"--";"<p>PO LAB 02</p>";"--";"--"
"25";"1";"--";"Presión hidráulica";"Calibración De Manómetros, Vacuómetros y Manovacuómetros analógicos y digitales 
exactitud >= 0,25% del intervalo de medida";"<p>(30 a 100) psi</p><p>(207 a 689) kPa</p>";"<p>0,039 psi</p><p>0,27 kPa</p>";"--";"<p>PO LAB 02</p>";"--";"--"
"25";"1";"--";"Presión Hidráulica";"Calibración
De Manómetros,
Vacuómetros y
Manovacuómetros
analógicos y digitales
exactitud >= 0,1% del
intervalo de medida";"<p>(100 a 300) psi</p><p>(689 a 2 068) kPa</p>";"<p>0,12 psi</p><p>0,83 kPa</p>";"--";"<p>PO LAB 02</p>";"--";"--"
"25";"1";"--";"Presión Hidráulica";"Calibración
De Manómetros,
Vacuómetros y
Manovacuómetros
analógicos y digitales
exactitud >= 0,1% del
intervalo de medida";"<p>(300 a 1 000) psi</p><p>(2 068 a 6 894) kPa</p>";"<p>0,43 psi</p><p>3,0 kPa</p>";"--";"<p>PO LAB 02</p>";"--";"--"
"25";"1";"--";"Presión Hidráulica";"Calibración
De Manómetros,
Vacuómetros y
Manovacuómetros
analógicos y digitales
exactitud >= 0,1% del
intervalo de medida";"<p>(1 000 a 5 000) psi</p><p>(6 894 a 34 474) kPa</p>";"<p>0,84 psi</p><p>5,8 kPa</p>";"--";"<p>PO LAB 02</p>";"--";"--"
"25";"1";"--";"Presión Hidráulica";"Calibración De Manómetros, Vacuómetros y Manovacuómetros analógicos y digitales 
exactitud >= 0,25% del intervalo de medida";"<p>(5 000 a 10 000) psi</p><p>(34 474 a 68 948) kPa</p>";"<p>5,8 psi</p><p>40,0 kPa</p>";"--";"<p>PO LAB 02</p>";"--";"--"
"25";"1";"--";"Presión neumática";"Calibración
De Manómetros,
Vacuómetros y
Manovacuómetros
analógicos y digitales
exactitud >= 0,1% del
intervalo de medida";"<p>(0 a 30) psi</p><p>(0 a 207) kPa</p>";"<p>0,0046 psi</p><p>0,032 kPa </p>";"--";"<p>PO LAB 02</p>";"--";"--"
"25";"1";"--";"Vacío";"Calibración
De Manómetros,
Vacuómetros y
Manovacuómetros
analógicos y digitales
exactitud >= 0,1% del
intervalo de medida";"<p>(-12 a 0) psi</p><p>(-82,7 a 0) kPa</p>";"<p>0,0076 PSI</p><p>0,053 kPa</p>";"--";"<p>PO LAB 02</p>";"--";"--"
